ID,Pipe_OD,Pipe_WT,Yield_Strength,Tensile_Strength,Elongation,%C,%Mn,%S,%P,%Si,%Al,%Cr,%Mo,%Ni,%Cu,%Nb,CE(IIW),Pipe_Grade
1215,10.75,0.188,47900,69000,30.3,0.199,0.832,0.029,0.014,0.084,0.003,0.014,0.003,0.066,0.045,0.001,0.348,Grade B
1215,10.75,0.188,49500,62000,33.4,0.217,0.548,0.016,0.008,0.045,0.003,0.024,0.003,0.029,0.067,0.001,0.32,Grade B
1215,10.75,0.188,52000,72500,35.1,0.237,0.713,0.026,0.009,0.01,0.017,0.018,0.003,0.024,0.121,0.001,0.37,Grade B
1221,10.75,0.203,63500,79500,25.9,0.278,0.873,0.017,0.005,0.028,0.004,0.027,0.006,0.018,0.026,0.001,0.433,X46
1223,12.75,0.219,57000,72500,34.9,0.251,0.967,0.014,0.01,0.007,0.008,0.049,0.007,0.014,0.024,0.001,0.426,X52
1223,12.75,0.219,57000,72500,32.3,0.243,0.968,0.026,0.01,0.008,0.009,0.045,0.009,0.013,0.023,0.001,0.418,X52
1223,12.75,0.219,57000,72000,32.6,0.243,0.968,0.026,0.01,0.008,0.009,0.045,0.009,0.013,0.023,0.001,0.418,X52
1223,12.75,0.219,57500,72500,34.7,0.251,0.967,0.014,0.01,0.007,0.008,0.049,0.007,0.014,0.024,0.001,0.426,X52
1223,12.75,0.219,61500,73000,17.9,0.243,0.968,0.026,0.01,0.008,0.009,0.045,0.009,0.013,0.023,0.001,0.418,X52
1223,12.75,0.219,67000,80500,27.7,0.251,0.967,0.014,0.01,0.007,0.008,0.049,0.007,0.014,0.024,0.001,0.426,X52
1227,6.625,0.281,45600,68000,45.7,0.133,1.04,0.005,0.007,0.198,0.03,0.008,0.002,0.007,0.013,0.001,0.32,X42
1230,24,0.375,54000,79000,32.7,0.265,1.01,0.019,0.013,0.04,0.002,0.068,0.018,0.079,0.186,0.001,0.468,X52
1230,24,0.375,62500,87000,32.2,0.289,1.2,0.02,0.011,0.048,0.002,0.04,0.02,0.079,0.217,0.001,0.521,X52
1230,24,0.375,66000,93500,27.5,0.272,1.15,0.019,0.009,0.054,0.003,0.04,0.018,0.119,0.188,0.001,0.496,X52
1230,24,0.375,78200,85100,28.4,0.275,1.11,0.02,0.012,0.047,0.003,0.059,0.026,0.08,0.194,0.001,0.495,X52
1230,24,0.375,81000,84700,24.6,0.264,1.01,0.018,0.013,0.042,0.0003,0.068,0.018,0.079,0.186,0.001,0.467,X52
1230,24,0.375,85000,89500,28.8,0.27,1.14,0.017,0.01,0.054,0.004,0.04,0.018,0.119,0.189,0.001,0.492,X52
1231,10.75,0.188,61000,88000,23.5,0.275,1.42,0.024,0.006,0.017,0.005,0.036,0.009,0.037,0.125,0.001,0.531,X52
1233,24,0.25,42200,61500,39.5,0.215,0.47,0.002,0.004,0.024,0.035,0.014,0.011,0.008,0.01,0.001,0.3,Grade B
1234,8.625,0.203,54000,68500,30.3,0.233,0.769,0.024,0.008,0.013,0.006,0.01,0.005,0.011,0.026,0.001,0.367,X42
1235,8.625,0.188,54500,74500,32.6,0.241,0.893,0.017,0.011,0.017,0.002,0.022,0.017,0.023,0.034,0.001,0.401,X52
