ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Fake Elongation,C,Mn,S,P,Ni,Cu,Nb,Pipe_Vintage,Grade_Name
166,0.028377358,0.188,6.625,49100,63000,40.72254331,0.184,0.536,0.025,0.008,0.094,0.167,0.003,1946,Grade B
56,0.037333333,0.322,8.625,37500,54000,15.7361802,0.119,0.448,0.021,0.013,0.008,0.009,0.001,1905,Grade B
135,0.015636364,0.344,22,47000,73000,32.98486885,0.22,0.498,0.015,0.009,0.007,0.03,0.001,1949,Grade B
240,0.037735849,0.25,6.625,56000,77500,23.50531667,0.232,0.518,0.027,0.03,0.058,0.215,0.001,1955,Grade B
48,0.02855814,0.307,10.75,35448,48143,30.23891034,0.038,0.378,0.013,0.013,0.031,0.022,0.001,1948,Grade B
98,0.023255814,0.25,10.75,42800,71500,51.87608886,0.299,0.53,0.03,0.012,0.039,0.052,0.002,1930,Grade B
261,0.023255814,0.25,10.75,60000,73500,35.71893115,0.222,0.542,0.028,0.026,0.053,0.048,0.001,1948,Grade B
199,0.023255814,0.25,10.75,51500,68000,33.18430945,0.222,0.542,0.028,0.026,0.053,0.048,0.001,1948,Grade B
33,0.02855814,0.307,10.75,33217,45492,48.72617843,0.048,0.33,0.008,0.003,0.025,0.022,0.001,1948,Grade B
53,0.052666667,0.237,4.5,36700,69500,48.83153716,0.247,0.74,0.017,0.011,0.023,0.018,0.001,1984,Grade B
217,0.032115942,0.277,8.625,53000,77500,37.5545749,0.16,1.16,0.019,0.018,0.01,0.018,0.001,1952,Grade B
225,0.045283019,0.3,6.625,54000,59500,42.59929215,0.108,0.384,0.016,0.009,0.011,0.058,0.001,1938,Grade B
148,0.017488372,0.188,10.75,47900,71000,41.37275691,0.21,0.848,0.031,0.015,0.069,0.047,0.001,1956,Grade B
210,0.032,0.344,10.75,52500,66000,31.32767589,0.207,0.64,0.02,0.007,0.056,0.093,0.006,1948,Grade B
170,0.032,0.344,10.75,49500,62000,36.60257402,0.202,0.461,0.02,0.013,0.03,0.057,0.001,1948,Grade B
131,0.052666667,0.237,4.5,46700,65600,25.17986405,0.125,0.468,0.038,0.021,0.059,0.163,0.001,1954,Grade B
59,0.037333333,0.322,8.625,38400,63500,32.91106375,0.216,0.435,0.018,0.004,0.007,0.013,0.001,1946,Grade B
39,0.02855814,0.307,10.75,34073,46183,48.49449976,0.048,0.33,0.008,0.003,0.025,0.022,0.001,1948,Grade B
271,0.041777778,0.188,4.5,65333,76582,43.17251158,0.184,0.544,0.024,0.004,0.137,0.168,0.001,1956,Grade B
70,0.032115942,0.277,8.625,39900,63000,40.16812951,0.145,0.946,0.016,0.012,0.008,0.016,0,1950,Grade B
196,0.028985507,0.25,8.625,51025,72529,20.9838193,0.162,0.639,0.046,0.02,0.02,0.077,0.001,1957,Grade B
96,0.032,0.344,10.75,42700,69000,44.19472955,0.271,0.463,0.027,0.012,0.024,0.061,0.002,1934,Grade B
241,0.025391304,0.219,8.625,56000,71500,21.35051543,0.241,0.893,0.017,0.011,0.023,0.034,0.001,1973,Grade B
153,0.02855814,0.307,10.75,48200,78500,39.9619432,0.218,0.927,0.017,0.029,0.008,0.009,0.001,1929,Grade B
260,0.043478261,0.375,8.625,60000,74500,32.10507624,0.227,0.69,0.016,0.008,0.007,0.009,0.001,1964,Grade B
146,0.037735849,0.25,6.625,47900,74500,24.08220577,0.231,0.49,0.018,0.038,0.067,0.132,0.001,1955,Grade B
116,0.064842105,0.154,2.375,45600,79000,30.99961374,0.251,0.41,0.022,0.008,0.008,0.007,0.001,1965,Grade B
38,0.02855814,0.307,10.75,34015,45814,27.45826484,0.048,0.33,0.008,0.003,0.025,0.022,0.001,1948,Grade B
104,0.039215686,0.5,12.75,44100,72500,25.53378725,0.216,0.653,0.007,0.007,0.022,0.015,0.001,1991,Grade B
213,0.021797101,0.188,8.625,52500,74500,33.80671424,0.246,1.14,0.014,0.008,0.031,0.027,0.001,1973,Grade B
