name,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,Grade_Early_bin
81,66000,93500,1952,0.272,1.15,0.019,0.054,0.009,0.003,0.04,0.018,0,0.119,0.188,0.037,0.001,0.001,0.009,0
82,67000,84000,1959,0.31,1.15,0.018,0.048,0.011,0.015,0.017,0.006,0.003,0.006,0.009,0.002,0.009,0.003,0.006,0
83,71500,94000,2011,0.055,1.62,0.005,0.181,0.012,0.035,0.048,0.011,0.068,0.016,0.045,0.011,0.01,0.042,0.004,0
84,75500,91000,2011,0.059,1.67,0.003,0.203,0.009,0.045,0.049,0.011,0.065,0.015,0.046,0.009,0.011,0.044,0.002,0
85,78200,85100,1952,0.275,1.11,0.02,0.047,0.012,0.003,0.059,0.026,0,0.08,0.194,0.123,0.001,0.001,0.008,0
86,81000,84700,1952,0.264,1.01,0.018,0.042,0.013,0.0003,0.068,0.018,0,0.079,0.186,0.034,0.001,0.001,0.007,0
87,84000,96000,2011,0.062,1.68,0.003,0.206,0.009,0.046,0.049,0.011,0.066,0.015,0.045,0.009,0.011,0.045,0.003,0
88,85000,89500,1952,0.27,1.14,0.017,0.054,0.01,0.004,0.04,0.018,0,0.119,0.189,0.039,0.001,0.001,0.008,0
89,49600,82500,1952,0.267,0.78,0.023,0.128,0.012,0.003,0.006,0.006,0.001,0.005,0.01,0.002,0.002,0.002,0.004,0
90,78500,84000,2015,0.074,1.36,0.002,0.215,0.015,0.047,0.026,0.008,0.049,0.011,0.018,0.002,0.017,0.04,0.003,0
91,80500,95000,2015,0.074,1.36,0.002,0.215,0.015,0.047,0.026,0.008,0.049,0.011,0.018,0.002,0.017,0.04,0.003,0
92,42500,68000,1951,0.239,0.7,0.024,0.026,0.008,0.004,0.023,0.001,0,0.014,0.016,0.002,0.006,0.001,0.006,0
93,43500,70000,1962,0.283,0.673,0.022,0.051,0.005,0.005,0.015,0.002,0,0.012,0.029,0.005,0.007,0.001,0.004,0
94,43500,67500,1951,0.239,0.7,0.024,0.026,0.008,0.004,0.023,0.001,0,0.014,0.016,0.002,0.006,0.001,0.006,0
95,43800,70500,1951,0.338,0.74,0.035,0.026,0.009,0.001,0.025,0.001,0.001,0.015,0.017,0.002,0.007,0.001,0.006,0
96,44800,71000,1951,0.338,0.74,0.035,0.026,0.009,0.001,0.025,0.001,0.001,0.015,0.017,0.002,0.007,0.001,0.006,0
97,45000,78500,1951,0.285,0.82,0.02,0.157,0.009,0.046,0.032,0.001,0.001,0.016,0.019,0.002,0.001,0.001,0.006,0
98,46300,71000,1951,0.279,0.74,0.025,0.028,0.009,0.001,0.024,0,0.001,0.015,0.017,0.002,0.007,0.001,0.006,0
99,46700,76500,1951,0.259,1.05,0.02,0.041,0.01,0.008,0.021,0,0.001,0.011,0.014,0.001,0.004,0.001,0.005,0
100,46800,78500,1951,0.285,0.82,0.02,0.157,0.009,0.046,0.032,0.001,0.001,0.016,0.019,0.002,0.001,0.001,0.006,0
101,46800,71500,1951,0.279,0.74,0.025,0.028,0.009,0.001,0.024,0,0.001,0.015,0.017,0.002,0.007,0.001,0.006,0
102,47600,78000,1951,0.267,0.82,0.018,0.161,0.008,0.054,0.031,0.001,0.001,0.015,0.018,0.002,0.001,0.001,0.006,0
103,48300,78500,1951,0.267,0.82,0.018,0.161,0.008,0.054,0.031,0.001,0.001,0.015,0.018,0.002,0.001,0.001,0.006,0
104,48500,79000,1951,0.277,1.09,0.035,0.041,0.013,0.006,0.022,0,0.002,0.011,0.017,0.002,0.006,0.002,0.006,0
105,48600,68000,2008,0.163,1.02,0.007,0.215,0.007,0.026,0.033,0.004,0.001,0.012,0.033,0.011,0.002,0.001,0.001,0
106,48800,78000,1951,0.259,1.05,0.02,0.041,0.01,0.008,0.021,0,0.001,0.011,0.014,0.001,0.004,0.001,0.005,0
107,49300,79000,1951,0.277,1.09,0.035,0.041,0.013,0.006,0.022,0,0.002,0.011,0.017,0.002,0.006,0.002,0.006,0
108,49800,68500,2008,0.151,1.03,0.006,0.225,0.006,0.031,0.031,0.004,0.001,0.011,0.027,0.009,0.002,0.001,0.001,0
109,50000,74500,1951,0.24,1.04,0.024,0.04,0.011,0.009,0.021,0,0.002,0.011,0.015,0.002,0.005,0.001,0.005,0
110,50000,79000,1951,0.251,1.04,0.024,0.04,0.01,0.008,0.021,0,0.001,0.011,0.015,0.001,0.005,0.001,0.005,0
111,51000,80500,1951,0.251,1.04,0.024,0.04,0.01,0.008,0.021,0,0.001,0.011,0.015,0.001,0.005,0.001,0.005,0
112,53000,75500,1951,0.24,1.04,0.024,0.04,0.011,0.009,0.021,0,0.002,0.011,0.015,0.002,0.005,0.001,0.005,0
113,57700,70500,1999,0.06,0.969,0.007,0.175,0.005,0.034,0.012,0.004,0,0.004,0.005,0,0.002,0.02,0,0
114,58500,70000,1999,0.056,0.956,0.006,0.165,0.006,0.029,0.015,0.003,0,0.004,0.005,0,0.002,0.022,0,0
115,59500,71000,1999,0.056,0.956,0.006,0.165,0.006,0.029,0.015,0.003,0,0.004,0.005,0,0.002,0.022,0,0
116,68000,72000,1999,0.06,0.969,0.007,0.175,0.005,0.034,0.012,0.004,0,0.004,0.005,0,0.002,0.02,0,0
117,43700,73500,1951,0.284,0.916,0.025,0.013,0.011,0.015,0.03,0.003,0.001,0.025,0.099,0.019,0.004,0.002,0.004,0
118,43800,74000,1951,0.285,0.916,0.027,0.013,0.012,0.015,0.03,0.003,0.001,0.025,0.098,0.019,0.004,0.002,0.004,0
119,43800,78000,1951,0.285,0.916,0.027,0.013,0.012,0.015,0.03,0.003,0.001,0.025,0.098,0.019,0.004,0.002,0.004,0
120,44200,77000,1951,0.2,0.52,0.027,0.2,0.026,0.016,0.057,0.02,0,0.13,0.2,0.019,0,0,0,0
121,47700,76500,1951,0.285,0.904,0.024,0.013,0.011,0.016,0.029,0.003,0.001,0.025,0.097,0.018,0.004,0.002,0.004,0
122,47900,77500,1951,0.284,0.904,0.022,0.013,0.011,0.017,0.029,0.003,0.001,0.024,0.097,0.018,0.004,0.003,0.004,0
123,48200,77500,1951,0.284,0.916,0.025,0.013,0.011,0.015,0.03,0.003,0.001,0.025,0.099,0.019,0.004,0.002,0.004,0
124,48400,77000,1951,0.285,0.904,0.024,0.013,0.011,0.016,0.029,0.003,0.001,0.025,0.097,0.018,0.004,0.002,0.004,0
125,48700,79000,1951,0.286,0.913,0.024,0.013,0.011,0.017,0.029,0.003,0.001,0.025,0.097,0.018,0.004,0.002,0.004,0
126,49000,77000,1951,0.285,0.911,0.024,0.013,0.011,0.015,0.029,0.003,0.001,0.025,0.098,0.018,0.004,0.002,0.004,0
127,49000,77000,1951,0.285,0.911,0.024,0.013,0.011,0.015,0.029,0.003,0.001,0.025,0.098,0.018,0.004,0.002,0.004,0
128,49000,80000,1951,0.284,0.904,0.022,0.013,0.011,0.017,0.029,0.003,0.001,0.024,0.097,0.018,0.004,0.003,0.004,0
129,50500,79000,1951,0.286,0.913,0.024,0.013,0.011,0.017,0.029,0.003,0.001,0.025,0.097,0.018,0.004,0.002,0.004,0
130,51500,79000,1951,0.283,0.912,0.026,0.013,0.012,0.015,0.029,0.003,0.001,0.025,0.098,0.019,0.004,0.002,0.004,0
131,53000,67000,1984,0.28,0.55,0.02,0.136,0.018,0.013,0.008,0.004,0,0.008,0.008,0.001,0.002,0.001,0.001,0
132,54500,86000,1988,0.281,0.648,0.01,0.232,0.012,0.03,0.082,0.016,0.001,0.026,0.022,0.002,0.004,0.002,0.003,0
133,61500,71500,2001,0.043,1.16,0.005,0.185,0.012,0.018,0.025,0.018,0.004,0.053,0.111,0.013,0.011,0.035,0.006,0
134,62500,73500,2001,0.04,1.17,0.005,0.207,0.011,0.024,0.025,0.02,0.004,0.054,0.119,0.014,0.011,0.036,0.007,0
135,47700,70000,1948,0.228,0.542,0.025,0.01,0.028,0.055,0.036,0.009,0,0.06,0.05,0.002,0.001,0.001,0.001,0
136,52500,63000,1957,0.177,0.805,0.017,0.005,0.006,0.001,0.017,0.003,0,0.009,0.01,0.001,0.001,0.001,0.003,0
137,55500,61500,1957,0.177,0.805,0.017,0.005,0.006,0.001,0.017,0.003,0,0.009,0.01,0.001,0.001,0.001,0.003,0
138,57000,74500,1964,0.227,0.69,0.016,0.011,0.008,0.009,0.009,0.003,0,0.007,0.009,0.002,0.001,0.001,0.002,0
139,60000,74500,1964,0.227,0.69,0.016,0.011,0.008,0.009,0.009,0.003,0,0.007,0.009,0.002,0.001,0.001,0.002,0
140,66000,82000,1964,0.227,0.69,0.016,0.011,0.008,0.009,0.009,0.003,0,0.007,0.009,0.002,0.001,0.001,0.002,0
141,45100,71500,1979,0.245,0.542,0.014,0.012,0.009,0.004,0.026,0.008,0,0.021,0.003,0,0.001,0.001,0,0
142,34900,53000,1930,0.08,0.413,0.012,0.004,0.018,0.001,0.03,0.003,0.001,0.011,0.028,0.004,0.002,0.003,0.005,0
143,36600,52500,1927,0.086,0.405,0.03,0.03,0.007,0.011,0.007,0.003,0,0.008,0.015,0.002,0.002,0.001,0.005,1
144,39100,55500,1927,0.105,0.427,0.028,0.044,0.01,0.004,0.006,0.003,0,0.011,0.01,0.002,0.002,0.001,0.005,1
145,40000,66000,1968,0.21,0.751,0.014,0.014,0.01,0.036,0.067,0.006,0,0.023,0.031,0.002,0.001,0.001,0.003,0
146,88000,100000,2001,0.052,1.58,0.003,0.338,0.013,0.043,0.092,0.245,0.004,0.139,0.299,0.015,0.02,0.073,0.008,0
147,54500,87000,1949,0.26,1.2,0.017,0.136,0.018,0.013,0.014,0.008,0.003,0.011,0.012,0.002,0.002,0.002,0.005,0
148,57000,87500,1949,0.26,1.2,0.017,0.136,0.018,0.013,0.014,0.008,0.003,0.011,0.012,0.002,0.002,0.002,0.005,0
149,61000,93000,1970,0.243,1.03,0.015,0.029,0.012,0.014,0.054,0.017,0.078,0.01,0.005,0.001,0.003,0.002,0.004,0
150,75500,90000,1978,0.197,1.12,0.017,0.216,0.009,0.02,0.042,0.006,0.001,0.029,0.085,0.007,0.002,0.037,0.003,0
151,64000,91000,1972,0.183,1.41,0.025,0.45,0.024,0.058,0.055,0.008,0,0.035,0.038,0.004,0.004,0.001,0.015,0
152,42100,72000,1949,0.22,0.498,0.015,0.169,0.009,0.02,0.006,0.002,0,0.007,0.03,0,0.001,0.001,0.002,0
153,47000,73000,1949,0.22,0.498,0.015,0.169,0.009,0.02,0.006,0.002,0,0.007,0.03,0,0.001,0.001,0.002,0
154,51500,75000,1949,0.292,0.851,0.028,0.008,0.059,0.001,0.019,0.007,0.001,0.025,0.036,0.004,0.002,0.002,0.006,0
155,52500,76500,1949,0.234,0.699,0.029,0.01,0.053,0.067,0.014,0.007,0.001,0.056,0.097,0.008,0.002,0.002,0.006,0
156,53000,79500,1949,0.29,0.951,0.016,0.007,0.05,0.001,0.036,0.012,0.002,0.084,0.058,0.002,0.002,0.002,0.007,0
157,55000,80500,1949,0.268,0.816,0.031,0.008,0.051,0.011,0.015,0.006,0.002,0.033,0.031,0.002,0.002,0.002,0.006,0
158,59500,82000,1952,0.266,1.04,0.023,0.052,0.01,0.001,0.021,0.006,0.003,0.02,0.116,0.008,0.002,0.003,0.037,0
159,55800,81000,1952,0.25,1.1,0.029,0.048,0.016,0,0.02,0.004,0.001,0.037,0.14,0.013,0.002,0,0.035,0
160,57000,76000,1952,0.27,1.1,0.03,0.064,0.012,0,0.019,0.004,0.002,0.035,0.14,0.016,0.002,0.001,0.034,0
161,61000,84000,1952,0.266,1.06,0.024,0.064,0.011,0.001,0.022,0.007,0,0.034,0.147,0.016,0.001,0.001,0.032,0
162,64000,80500,1962,0.227,1.03,0.019,0.012,0.007,0.006,0.013,0.006,0,0.012,0.009,0,0.001,0.001,0.001,0
163,69500,79000,1952,0.23,0.93,0.032,0.038,0.014,0.001,0.026,0.005,0.001,0.032,0.14,0.008,0.002,0,0.034,0
164,41900,70000,1934,0.259,0.463,0.024,0.116,0.011,0.041,0.048,0.006,0.001,0.024,0.061,0.009,0.002,0.002,0.005,0
165,42700,69000,1934,0.271,0.463,0.027,0.117,0.012,0.041,0.048,0.006,0.001,0.024,0.061,0.009,0.002,0.002,0.005,0
166,46600,72500,1934,0.268,0.438,0.021,0.305,0.011,0.019,0.037,0.009,0.001,0.014,0.024,0.004,0.002,0.002,0.005,0
167,49500,62000,1948,0.202,0.461,0.02,0.025,0.013,0.032,0.018,0.007,0,0.03,0.057,0.007,0.002,0.001,0.005,0
168,51000,65500,1948,0.261,0.549,0.036,0.012,0.024,0.011,0.015,0.012,0.001,0.051,0.087,0.027,0.002,0.003,0.005,0
169,52000,66000,1948,0.243,0.485,0.031,0.018,0.019,0.019,0.016,0.009,0.001,0.049,0.067,0.01,0.002,0.002,0.005,0
170,52500,66000,1948,0.207,0.64,0.02,0.008,0.007,0.002,0.029,0.007,0.002,0.056,0.093,0.012,0.002,0.006,0.007,0
