ID,Yield_Strength,Tensile_Strength,C,Mn,Nb,Pipe_Vintage,Pipe_Grade
369,62500,93000,2.79E-01,1.15E+00,4.00E-03,1961,5
370,63000,87500,2.75E-01,1.25E+00,4.00E-03,1961,5
371,63500,86500,2.09E-01,1.14E+00,3.00E-03,1961,5
372,63500,86500,2.09E-01,1.14E+00,3.00E-03,1961,5
373,57500,75000,1.44E-01,7.79E-01,1.40E-02,1961,5
374,52000,71000,1.74E-01,6.93E-01,2.00E-03,1961,5
375,44500,65500,2.28E-01,5.41E-01,2.00E-03,1961,2
376,41900,70000,2.59E-01,4.63E-01,2.00E-03,1961,2
377,42700,69000,2.71E-01,4.63E-01,2.00E-03,1961,2
378,46600,72500,2.68E-01,4.38E-01,2.00E-03,1961,2
379,49100,76000,3.10E-01,9.20E-01,2.00E-03,1950,3
380,51000,75000,2.90E-01,8.91E-01,3.00E-03,1950,3
381,72500,92000,2.04E-01,1.28E+00,2.60E-02,1967,6
382,74000,90500,2.04E-01,1.28E+00,2.60E-02,1967,6
383,54000,72000,1.77E-01,6.94E-01,1.00E-03,1961,5
384,57500,74500,2.06E-01,7.96E-01,2.00E-03,1961,5
385,55500,71000,1.50E-01,5.88E-01,1.00E-03,1959,2
386,57500,69000,1.50E-01,5.88E-01,1.00E-03,1959,2
387,39900,63000,1.45E-01,9.46E-01,0.00E+00,1957,2
388,54000,74000,1.97E-01,4.34E-01,1.00E-03,1937,4
389,55000,87500,2.48E-01,1.21E+00,2.00E-03,1961,5
390,54500,74000,2.82E-01,5.84E-01,1.00E-03,1970,3
391,67000,90000,1.98E-01,1.30E+00,1.20E-02,1938,6
392,75500,90000,1.97E-01,1.12E+00,3.70E-02,1967,6
393,32796,50860,1.99E-01,5.73E-01,2.00E-03,1970,1
394,55500,75500,2.49E-01,1.05E+00,2.00E-03,1970,3
395,66000,82000,1.88E-01,7.44E-01,1.00E-03,2002,6
396,68500,87500,1.92E-01,8.27E-01,2.00E-03,2002,6
397,68500,75500,1.97E-01,7.42E-01,1.00E-03,1962,6
398,69200,84200,1.86E-01,7.75E-01,1.00E-03,1950,6
399,70000,77000,1.95E-01,7.45E-01,1.00E-03,1950,6
400,70200,77800,1.80E-01,6.90E-01,2.00E-03,1970,6
401,71700,82100,1.86E-01,7.66E-01,2.00E-03,1970,6
402,73100,89400,1.94E-01,7.61E-01,2.00E-03,1983,6
403,78200,87300,1.85E-01,7.25E-01,2.00E-03,1983,6
404,39200,60000,1.64E-01,5.13E-01,1.00E-03,1983,2
405,55500,83500,3.07E-01,1.20E+00,4.00E-03,1983,5
