ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe_Vintage,C,Mn,Nb,Pipe_Grade
252,0.0195,0.312,16,48500,60500,1959,0.24,0.72,0,3
253,0.0195,0.312,16,49000,73500,1976,0.227,1.03,0.001,3
254,0.0195,0.312,16,49700,77000,1979,0.302,1.07,0.001,2
255,0.0195,0.312,16,49750,68000,2002,0.162,1.06,0.001,3
256,0.0195,0.312,16,56000,76000,1965,0.237,0.802,0.001,4
257,0.0195,0.312,16,59900,74500,1953,0.29,0.88,0,3
258,0.0195,0.312,16,60500,69500,1959,0.24,0.72,0,3
259,0.024470588,0.312,12.75,49100,76000,1950,0.31,0.92,0.002,3
260,0.024470588,0.312,12.75,50500,66500,1949,0.23,0.49,0.001,2
261,0.024470588,0.312,12.75,51000,75000,1950,0.29,0.891,0.003,3
262,0.024470588,0.312,12.75,54500,69000,1949,0.23,0.49,0.001,2
263,0.024470588,0.312,12.75,55500,77500,1950,0.332,1.01,0.003,3
264,0.024470588,0.312,12.75,57000,87000,1960,0.28,1.08,0.001,3
265,0.024470588,0.312,12.75,58100,81500,1950,0.285,0.96,0.003,3
266,0.024470588,0.312,12.75,64000,74000,1949,0.23,0.49,0.001,2
267,0.024470588,0.312,12.75,69500,81000,2014,0.061,1.04,0.029,5
268,0.024470588,0.312,12.75,71000,94500,1967,0.194,0.73,0.003,6
269,0.024470588,0.312,12.75,73500,87500,1999,0.064,1.32,0.036,7
270,0.024470588,0.312,12.75,77000,83500,2000,0.071,1.21,0.039,7
271,0.036173913,0.312,8.625,36800,65500,1946,0.212,0.434,0.001,2
272,0.036173913,0.312,8.625,45700,67500,1946,0.252,0.428,0.001,2
273,0.036173913,0.312,8.625,52000,64500,1973,0.186,0.7,0.001,3
274,0.036173913,0.312,8.625,60000,75500,1971,0.247,0.796,0.001,3
275,0.036173913,0.312,8.625,61000,74500,1971,0.204,0.792,0.001,3
276,0.036173913,0.312,8.625,70000,86000,1973,0.193,1.19,0.041,3
277,0.04709434,0.312,6.625,46400,53500,1955,0.045,0.415,0.002,1
278,0.04709434,0.312,6.625,47700,54500,1955,0.056,0.44,0.002,1
279,0.01925,0.308,16,57000,66500,1967,0.132,1.14,0.018,5
280,0.02855814,0.307,10.75,45600,73000,1929,0.192,0.896,0.001,2
281,0.02855814,0.307,10.75,48200,78500,1929,0.218,0.927,0.001,2
282,0.02855814,0.307,10.75,48700,76000,1930,0.227,0.795,0.001,2
283,0.02855814,0.307,10.75,54500,79500,1953,0.15,0.68,0.001,4
284,0.02855814,0.307,10.75,55500,71000,1959,0.15,0.588,0.001,2
285,0.02855814,0.307,10.75,57500,69000,1959,0.15,0.588,0.001,2
286,0.02855814,0.307,10.75,56500,71500,1951,0.244,0.844,0.001,3
287,0.02855814,0.307,10.75,56500,73000,1951,0.257,0.835,0.001,3
288,0.02855814,0.307,10.75,63000,75000,1951,0.257,0.835,0.001,3
289,0.02855814,0.307,10.75,63000,76000,1951,0.244,0.844,0.001,3
290,0.02855814,0.307,10.75,81500,99500,1967,0.228,0.981,0.001,6
291,0.02855814,0.307,10.75,84000,102000,1967,0.223,0.97,0.001,6
292,0.0307,0.307,10,45800,70500,1953,0.24,0.73,0,3
293,0.024,0.306,12.75,63000,78000,1972,0.213,1.25,0.031,6
294,0.024,0.306,12.75,63000,78000,1972,0.213,1.25,0.031,6
295,0.024,0.306,12.75,63500,80000,1972,0.223,1.32,0.028,6
296,0.024,0.306,12.75,63500,80000,1972,0.223,1.32,0.028,6
297,0.024,0.306,12.75,65500,81500,1972,0.205,1.28,0.033,6
298,0.024,0.306,12.75,65500,81500,1972,0.205,1.28,0.033,6
299,0.013636364,0.3,22,51500,84000,1949,0.276,1.15,0.001,5
300,0.045283019,0.3,6.625,47000,58000,1938,0.108,0.384,0.001,2
301,0.045283019,0.3,6.625,54000,59500,1938,0.108,0.384,0.001,2
302,0.043169811,0.286,6.625,39100,64000,1947,0.185,0.462,0.001,2
303,0.043169811,0.286,6.625,41800,64000,1947,0.186,0.437,0.001,2
304,0.0176875,0.283,16,68000,80000,1999,0.045,1.3,0.056,7
305,0.007805556,0.281,36,54000,78500,1952,0.22,0.7,0.008,5
306,0.008264706,0.281,34,54000,83200,1967,0.23,0.121,0,5
307,0.008264706,0.281,34,56500,80000,1967,0.25,1.31,0,5
308,0.008264706,0.281,34,61000,86300,1967,0.24,1.09,0,5
309,0.008264706,0.281,34,61500,79500,1967,0.247,1.05,0.002,5
310,0.009366667,0.281,30,52200,84500,1953,0.27,1.12,0,5
311,0.009366667,0.281,30,59000,79500,1953,0.23,1,0,5
312,0.009366667,0.281,30,60500,77500,1976,0.222,1.03,0.003,5
313,0.010035714,0.281,28,55000,74500,1971,0.199,1.072,0.006,5
314,0.010035714,0.281,28,58000,76500,1970,0.2,1.19,0.003,5
315,0.010035714,0.281,28,61000,81000,1970,0.21,1.29,0.003,5
316,0.010035714,0.281,28,63000,78000,1970,0.203,1.085,0.005,5
317,0.010807692,0.281,26,53500,76000,1957,0.23,0.93,0,5
318,0.010807692,0.281,26,54500,76000,1954,0.255,1.049,0.003,5
319,0.010807692,0.281,26,62000,89000,1949,0.29,1.04,0,5
320,0.010807692,0.281,26,66500,92500,1968,0.251,1.36,0.016,6
321,0.010807692,0.281,26,72000,101000,1968,0.244,1.34,0.015,6
322,0.010807692,0.281,26,73000,81000,1956,0.29,1,0,5
323,0.011708333,0.281,24,52600,72250,1958,0.24,1.09,0.004,5
324,0.011708333,0.281,24,56500,79000,1952,0.261,0.948,0.003,5
325,0.011708333,0.281,24,58000,78500,1952,0.269,1.07,0.004,5
326,0.011708333,0.281,24,59000,81500,1960,0.257,1.1,0.001,5
327,0.011708333,0.281,24,59500,79500,1952,0.243,1.01,0.003,5
328,0.011708333,0.281,24,60000,82500,1960,0.263,1.11,0.001,5
329,0.011708333,0.281,24,60300,78100,1952,0.278,0.982,0.002,5
330,0.011708333,0.281,24,62500,83000,1952,0.269,1.07,0.004,5
331,0.011708333,0.281,24,64500,88000,1952,0.264,0.976,0.003,5
332,0.011708333,0.281,24,67000,90000,1964,0.198,1.3,0.012,6
333,0.011708333,0.281,24,68000,85500,1960,0.25,1.1,0.001,5
334,0.011708333,0.281,24,72000,91000,1992,0.07,1.41,0.041,7
335,0.012772727,0.281,22,58500,82500,1952,0.262,0.968,0.003,5
336,0.01405,0.281,20,42100,64500,1958,0.271,0.441,0.001,2
337,0.015611111,0.281,18,53500,75500,1950,0.29,0.71,0,5
338,0.016902256,0.281,16.625,55000,87500,1954,0.248,1.21,0.002,5
339,0.0175625,0.281,16,47000,70000,1953,0.255,0.59,0.001,3
340,0.0175625,0.281,16,48400,71000,1953,0.255,0.59,0.001,3
341,0.0175625,0.281,16,50600,79800,1954,0.252,1.24,0.002,5
342,0.0175625,0.281,16,57000,69000,1955,0.223,0.835,0.002,5
343,0.0175625,0.281,16,58200,71000,1955,0.23,0.9,0.002,5
344,0.0175625,0.281,16,63500,82500,1955,0.234,0.816,0.002,5
345,0.0175625,0.281,16,64500,87500,1975,0.247,1.13,0.02,6
346,0.0175625,0.281,16,69000,88000,1975,0.238,1.15,0.024,6
347,0.0175625,0.281,16,72000,96500,1975,0.247,1.37,0.027,6
348,0.020071429,0.281,14,53000,69500,1964,0.219,0.866,0.002,3
