ML_DefectID_s7,ML_AxDist_s7,ML_AxLength_s7,ML_AxWidth_s7,ML_MaxDepthPer_s7,ML_FailurePressure_s7,ML_AvgDepth_s7,ML_Orient_s7,ML_AvgDepthPer_s7,ML_MaxDepth_s7,ML_MinRemWall_s7,ML_FactorSafety_s7,ML_FailurePressType_s7,ML_DepthMeasured_s7,ML_CorrosionType_s7,ML_LocThruWall_s7,ML_FullCirc_s7,ML_RefGW_s7,ML_ScanID_s7,ML_AcWallThickness_s7,ML_ILI_DefectID_s7,ML_AssocDefectID_s7,ML_DefectStatus_s7
DMA-062,10.224,2,3,10.7,9016,0.995,31.9,10.7,0.995,8.305,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-063,10.27,52,23,18.65,8923,1.191,30.1,12.81,1.734,7.566,1.47,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-064,10.304,2,3,11.56,9016,1.075,359.8,11.56,1.075,8.225,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-065,10.326,32,19,20.34,8971,1.425,348.9,15.33,1.892,7.408,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-066,10.334,6,4,11.62,9015,1.043,15.5,11.21,1.081,8.219,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-067,10.396,2,18,11.39,9016,1.059,30.7,11.39,1.059,8.241,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-068,10.444,36,20,17.04,8985,0.874,343.7,9.4,1.585,7.715,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-069,10.462,8,7,20.01,9014,1.389,32,14.94,1.861,7.439,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-070,10.524,14,17,19.02,9009,1.344,31.8,14.45,1.769,7.531,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-071,10.566,32,25,20.32,8987,0.974,28.8,10.47,1.89,7.41,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-072,10.596,64,4,13.97,8933,0.784,51.9,8.43,1.299,8.001,1.47,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-073,10.622,52,11,21.08,8942,0.982,349.3,10.56,1.96,7.34,1.47,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-074,10.7,68,18,18.22,8876,1.125,348.4,12.09,1.694,7.606,1.46,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-075,10.714,12,15,19.3,9010,1.444,335.8,15.52,1.795,7.505,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-076,10.746,16,12,19.05,9006,1.346,32.7,14.47,1.772,7.528,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-077,10.802,70,53,21.23,8883,1.026,33.3,11.03,1.974,7.326,1.46,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-078,10.802,96,78,23.88,8767,1.16,352.1,12.48,2.221,7.079,1.45,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-079,10.922,46,15,32.22,8901,1.728,30.6,18.58,2.996,6.304,1.47,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-080,10.954,2,2,10.23,9016,0.951,348.4,10.23,0.951,8.349,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-081,10.956,4,9,17.97,9016,1.563,38.6,16.81,1.671,7.629,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-082,11.064,6,5,14.08,9015,1.105,30.5,11.89,1.309,7.991,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-083,11.224,20,12,16.9,9010,0.906,332.6,9.75,1.572,7.728,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-084,11.292,14,11,24.54,9006,1.738,34.3,18.69,2.282,7.018,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-085,11.3,34,29,14.87,8981,1.025,50.5,11.03,1.383,7.917,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-086,11.39,2,3,10.47,9016,0.974,47.4,10.47,0.974,8.326,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-087,11.424,2,2,10.91,9016,1.015,28.4,10.91,1.015,8.285,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-088,11.428,4,4,12.75,9016,1.127,332.1,12.11,1.186,8.114,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-089,11.48,24,12,22.83,8991,1.466,332.9,15.77,2.123,7.177,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-090,11.484,16,8,14.33,9010,0.947,8.9,10.18,1.333,7.967,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-091,11.496,80,31,38.99,8608,2.205,30.3,23.71,3.626,5.674,1.42,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
