ID,Pipe OD,Pipe WT,Yield_Strength,Tensile_Strength,%C,%Mn,%S,%P,%Si,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Ti,%Nb,Pipe Vintage,Pipe Grade
284,10.75,0.188,58000,71500,0.185,0.94,0.022,0.012,0.02,0.008,0.034,0.012,0.002,0.034,0.043,0.002,0.025,1970,X52
284,10.75,0.188,58000,75000,0.185,0.94,0.022,0.012,0.02,0.008,0.034,0.012,0.002,0.034,0.043,0.002,0.025,1970,X52
284,10.75,0.188,58000,71500,0.196,0.93,0.03,0.021,0.024,0.003,0.039,0.01,0.002,0.028,0.04,0.002,0.027,1970,X52
284,10.75,0.188,58000,75000,0.196,0.93,0.03,0.021,0.024,0.003,0.039,0.01,0.002,0.028,0.04,0.002,0.027,1970,X52
284,10.75,0.188,58000,71500,0.153,0.55,0.018,0.007,0.008,0.009,0.038,0.011,0.001,0.048,0.163,0.002,0.002,1970,X52
284,10.75,0.188,58000,75000,0.153,0.55,0.018,0.007,0.008,0.009,0.038,0.011,0.001,0.048,0.163,0.002,0.002,1970,X52
284,10.75,0.188,58000,71500,0.158,0.78,0.024,0.007,0.025,0,0.029,0.012,0.002,0.031,0.045,0.002,0.024,1970,X52
284,10.75,0.188,58000,75000,0.158,0.78,0.024,0.007,0.025,0,0.029,0.012,0.002,0.031,0.045,0.002,0.024,1970,X52
284,10.75,0.188,58000,71500,0.157,0.78,0.025,0.007,0.025,0,0.029,0.012,0.002,0.031,0.046,0.002,0.024,1970,X52
284,10.75,0.188,58000,75000,0.157,0.78,0.025,0.007,0.025,0,0.029,0.012,0.002,0.031,0.046,0.002,0.024,1970,X52
284,10.75,0.188,58000,71500,0.189,0.94,0.033,0.009,0.023,0,0.051,0.007,0.002,0.017,0.021,0.002,0.035,1970,X52
284,10.75,0.188,58000,75000,0.189,0.94,0.033,0.009,0.023,0,0.051,0.007,0.002,0.017,0.021,0.002,0.035,1970,X52
349,8.625,0.188,58000,77500,0.237,0.97,0.021,0.012,0.053,0.004,0.024,0.005,0.003,0.009,0.014,0.002,0.003,1961,X52
