ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe_Vintage,C,Mn,Nb,YS/TS,C/Mn,WT/OD*YS,WT*OD*C*Mn,YS*C,YS*Mn,WT*YS*C,WT*OD*YS*Mn,WT*OD*YS*TS*C*Mn,Pipe_Grade
290,0.02855814,0.307,10.75,81500,99500,1967,0.228,0.981,0.001,0.82,0.232,2327.5,0.7382,18582,79952,5704.7,263860,0.60462,6
291,0.02855814,0.307,10.75,84000,102000,1967,0.223,0.97,0.001,0.82,0.230,2398.9,0.7139,18732,81480,5750.7,268904,0.58790,6
149,0.03255814,0.35,10.75,61000,93000,1970,0.243,1.03,0.002,0.66,0.236,1986.0,0.9417,14823,62830,5188.1,236398,0.61768,6
30,0.009625,0.462,48,77000,81600,1972,0.104,1.33,0.001,0.94,0.078,741.1,3.0674,8008,102410,3699.7,2271044,2.89447,7
51,0.010416667,0.375,36,65500,91000,1971,0.156,1.43,0.043,0.72,0.109,682.3,3.0116,10218,93665,3831.8,1264478,2.16768,7
52,0.010416667,0.375,36,68000,89500,1971,0.161,1.43,0.045,0.76,0.113,708.3,3.1081,10948,97240,4105.5,1312740,2.36147,7
53,0.010416667,0.375,36,69500,93500,1971,0.167,1.44,0.045,0.74,0.116,724.0,3.2465,11607,100080,4352.4,1351080,2.41316,7
54,0.010416667,0.375,36,70500,90000,1971,0.167,1.44,0.045,0.78,0.116,734.4,3.2465,11774,101520,4415.1,1370520,2.54308,7
55,0.010416667,0.375,36,70500,87000,1971,0.161,1.43,0.045,0.81,0.113,734.4,3.1081,11351,100815,4256.4,1361003,2.51864,7
56,0.010416667,0.375,36,73750,96500,1968,0.26,1.37,0.015,0.76,0.190,768.2,4.8087,19175,101038,7190.6,1364006,3.67504,7
57,0.010416667,0.375,36,74000,96500,1968,0.26,1.37,0.015,0.77,0.190,770.8,4.8087,19240,101380,7215.0,1368630,3.68750,7
58,0.010416667,0.375,36,74500,90000,1971,0.156,1.43,0.043,0.83,0.109,776.0,3.0116,11622,106535,4358.3,1438223,2.49292,7
